Product_Description,Product_Image,Discounted_Price,Product_Rating
"14"" Laptop N3350 6GB+192GB SSD Portable Computer Student Pc",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/5971473/1.jpg?1781,"₦ 289,800",1
Hp CHROMEBOOK 11 INTEL CELERON 4Gb RAM 16GB WINS 10,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/5878193/1.jpg?2158,"₦ 155,000",0
Hp CHROMEBOOK 11 INTEL CELERON 4Gb RAM 64GB WINS 10,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/4370293/1.jpg?0416,"₦ 165,000",0
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO +USB Light For Keyboard,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/7692263/1.jpg?2277,"₦ 250,000",1
Macbook PRO Laptop A1278 13.3 Inch Core I5 2.5GHz 8GB RAM 500GB EN/AR Keyboard,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/5111783/1.jpg?0333,"₦ 213,400",0
Hp CHROMEBOOK 11 INTEL CELERON 4Gb RAM 32GB WINS 10,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/7059293/1.jpg?8253,"₦ 160,000",0
Hp EliteBook 840 G5 Intel Core I5-16GB RAM-256GB SSD-Backlit Keyboard 11 Pro+BAG,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/6514062/1.jpg?5207,"₦ 485,000",1
Hp EliteBook 840 G6 TOUCHSCREEN Intel Core I5-16GB RAM/512GB SSD/ Backlit Keyboard/Windows11Pro+BAG,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/3411353/1.jpg?6805,"₦ 530,000",1
Hp ProBook 11 X360- Intel Pentium 256GB SSD-TOUCHSCREEN 4GB RAM Windows10 Pro + Laptop Pouch,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/1310651/1.jpg?9822,"₦ 228,000",1
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse & USB Light For Keyboard,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/2828913/1.jpg?6186,"₦ 270,000",1
