Description,Title,Image,Discount,Original Price,Discounted Price
Men Solid Polo Neck Pure Cotton Black T-Shirt,Roadster,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/b/7/t/-original-imah23chztgfyjpb.jpeg?q=70,63% off,"₹1,299",₹468
Men Slim Fit Solid Spread Collar Casual Shirt,Dennis Lingo,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/j/p/b/4xl-c301-dustypink-dennis-lingo-original-imah47s8skc6qvtx.jpeg?q=70,73% off,"₹1,849",₹499
Men Solid Round Neck Pure Cotton Black T-Shirt,PUMA,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/x/b/s/-original-imah4pjzd2mhgjhk.jpeg?q=70,27% off,"₹1,099",₹802
Men Solid Polo Neck Poly Cotton Yellow T-Shirt,PETER ENGLAND,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/z/f/t/-original-imah3vpcfcdrfn9m.jpeg?q=70,35% off,"₹1,099",₹714
Men Tailored Fit Solid Cut Away Collar Casual Shirt,U.S. POLO ASSN.,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/h/g/s/-original-imah4y8pkqmaeuem.jpeg?q=70,43% off,"₹2,199","₹1,253"
Men Solid Polo Neck Cotton Blend White T-Shirt,Allen Solly,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/y/b/2/-original-imagu3hzcq45znbu.jpeg?q=70,33% off,"₹1,099",₹736
Men Regular Fit Self Design Spread Collar Casual Shirt,METRONAUT,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/j/3/a/xxl-popcorn-shirts-statue-metronaut-original-imah6ukqskdqgunr.jpeg?q=70,82% off,"₹1,499",₹269
Men Regular Fit Dark Green Cotton Blend Trousers,STREETVIBES,https://rukminim2.flixcart.com/image/612/612/xif0q/trouser/n/0/l/34-sv-gr-streetvibes-original-imahfgznhstq9gek.jpeg?q=70,71% off,"₹1,599",₹455
Solid Men Round Neck Poly Cotton Dark Green T-Shirt,METRONAUT,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/s/j/g/xxl-mt417-metronaut-original-imagmgfw84qcaqfn.jpeg?q=70,85% off,"₹1,999",₹299
Men Regular Fit Solid Button Down Collar Casual Shirt,METRONAUT,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/u/y/7/xl-formal-shirt-metronaut-original-imah2e2hpmta3xze.jpeg?q=70,85% off,"₹1,999",₹299
Men Slim Fit Checkered Spread Collar Casual Shirt,The Indian Garage Co.,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/f/m/z/-original-imagngz33h2fyzzn.jpeg?q=70,67% off,"₹1,749",₹577
Men Regular Fit Checkered Spread Collar Casual Shirt,Roadster,https://rukminim2.flixcart.com/image/612/612/k547l3k0/shirt/v/2/p/44-10398073-roadster-original-imafnvbzybbmf3kc.jpeg?q=70,49% off,"₹1,299",₹650
Men Solid Polo Neck Pure Cotton Black T-Shirt,PUMA,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/h/j/c/-original-imah4pjzpr4ys6qy.jpeg?q=70,30% off,"₹1,299",₹909
Men Regular Fit Self Design Button Down Collar Casual S...,DIMMY,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/v/w/u/l-linen111-dimmy-original-imahfk9nkms65eh7.jpeg?q=70,80% off,"₹1,999",₹394
Women Printed Round Neck Wool Blend Maroon T-Shirt,VGHC FASHION,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/v/v/a/l-49-marun-vbhp-fashion-original-imagz9yy4ndsmgn4.jpeg?q=70,88% off,"₹2,499",₹299
Men Slim Fit Solid Spread Collar Casual Shirt,Dennis Lingo,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/z/e/r/4xl-c301-d-teal-dennis-lingo-original-imah3mzazgyqbgn8.jpeg?q=70,75% off,"₹1,849",₹444
Men Slim Fit Black Cotton Blend Trousers,pesado,https://rukminim2.flixcart.com/image/612/612/xif0q/trouser/2/u/r/26-black230150-pesado-original-imah2gtkrzjdgyac.jpeg?q=70,67% off,"₹1,299",₹419
Men Regular Fit Black Cotton Blend Trousers,STREETVIBES,https://rukminim2.flixcart.com/image/612/612/xif0q/trouser/f/k/j/30-sv-bl-streetvibes-original-imahfgznfymapjfy.jpeg?q=70,71% off,"₹1,599",₹455
Men Slim Fit Checkered Spread Collar Casual Shirt,The Indian Garage Co.,https://rukminim2.flixcart.com/image/612/612/kf8kvbk0-0/shirt/y/d/i/m-0620-sh45-05-the-indian-garage-co-original-imafvqjm3vrgngac.jpeg?q=70,73% off,"₹1,749",₹455
Men Regular Fit Solid Spread Collar Casual Shirt,METRONAUT,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/w/z/c/xxl-popcorn-shirts-statue-metronaut-original-imah6ukq7zzatpuh.jpeg?q=70,80% off,"₹1,499",₹299
Solid Men Round Neck Poly Cotton Yellow T-Shirt,METRONAUT,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/p/m/r/-original-imahfxuvzgu4d7c6.jpeg?q=70,85% off,"₹1,999",₹299
Men Printed Round Neck Cotton Blend Maroon T-Shirt,RUF AND TUF,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/w/f/q/m-rtmernk20015r04-ruf-and-tuf-original-imah5ah6tjnnjgff.jpeg?q=70,85% off,₹899,₹134
Top - Pyjama Set Thermal For Baby Boys & Baby Girls,Lavi-Tavi,https://rukminim2.flixcart.com/image/612/612/xif0q/kids-thermal/4/c/l/10-11-years-4-thermal-lavi-tavi-original-imah7tjchaynskgf.jpeg?q=70,68% off,"₹1,299",₹412
Men Printed Round Neck Pure Cotton Blue T-Shirt,PUMA,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/y/f/o/-original-imah4pjzhrcxsths.jpeg?q=70,27% off,"₹1,099",₹802
Men Regular Fit Checkered Cut Away Collar Casual Shirt,The Indian Garage Co.,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/h/b/h/s-1122-shbccpyd-04-01-the-indian-garage-co-original-imagmzhhrbhnpdzv.jpeg?q=70,69% off,"₹2,149",₹645
Men Solid Round Neck Pure Cotton Green T-Shirt,Roadster,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/x/k/w/l-21423408-roadster-original-imagsw8s6kg7yy5z.jpeg?q=70,61% off,₹699,₹266
"Oversized Men Printed, Typography Round Neck Pure Cotto...",Veirdo,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/t/s/t/xxl-os-100-vdorgnl-sw-veirdo-original-imah3sy2hg48pwwb.jpeg?q=70,70% off,"₹1,199",₹349
Men Solid Polo Neck Pure Cotton Red T-Shirt,Allen Solly,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/z/f/q/-original-imahyg9zskfnnkdy.jpeg?q=70,33% off,"₹1,099",₹736
Men Slim Fit Solid Spread Collar Casual Shirt,KILLER,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/g/m/v/-original-imagucbxhsnpdsfd.jpeg?q=70,63% off,"₹2,599",₹961
Men Slim Fit Solid Casual Shirt,KILLER,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/x/0/p/-original-imagucbptt9ecmrd.jpeg?q=70,63% off,"₹2,599",₹961
Oversize Men Tie & Dye Round Neck Pure Cotton Multicolo...,Veirdo,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/o/z/u/l-mickey-3008-veirdo-original-imah4gzg2ndznd24.jpeg?q=70,70% off,"₹1,199",₹349
Men Slim Fit Checkered Cut Away Collar Casual Shirt,THE BEAR HOUSE,https://rukminim2.flixcart.com/image/612/612/ki214sw0-0/shirt/x/k/p/s-tbh-uber-mr-the-bear-house-original-imafxxdh4mxubnrf.jpeg?q=70,69% off,"₹2,495",₹750
Men Slim Fit Solid Cut Away Collar Casual Shirt,The Indian Garage Co.,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/d/h/u/-original-imagyhfjv2gjjwqu.jpeg?q=70,67% off,"₹1,749",₹577
Men Regular Fit Checkered Button Down Collar Casual Shi...,RED TAPE,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/n/p/w/l-rfs2244-red-tape-original-imah3bg8ynmzhte8.jpeg?q=70,80% off,"₹3,299",₹659
Men Regular Fit Checkered Spread Collar Casual Shirt,METRONAUT,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/5/o/s/xxl-mhs-601-blue-metronaut-original-imahfmguhzf4ugug.jpeg?q=70,80% off,"₹1,499",₹299
Men Regular Fit Solid Spread Collar Casual Shirt,METRONAUT,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/1/9/d/xl-formal-shirt-metronaut-original-imah2paq865jvjag.jpeg?q=70,85% off,"₹1,999",₹299
Men Solid Polo Neck Pure Cotton Navy Blue T-Shirt,U.S. POLO ASSN.,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/p/s/x/m-ustshs1547-u-s-polo-assn-original-imagrzwjcepf3qjd.jpeg?q=70,45% off,"₹1,699",₹934
Men Regular Fit Solid Button Down Collar Casual Shirt,METRONAUT,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/m/z/x/xl-formal-shirt-metronaut-original-imah2p9phdpje5gf.jpeg?q=70,85% off,"₹1,999",₹299
Men Printed Crew Neck Cotton Blend Black T-Shirt,PUMA,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/h/q/w/l-68709401-puma-original-imah64swsyabygjc.jpeg?q=70,63% off,"₹1,499",₹549
"Oversized Men Printed, Typography Round Neck Pure Cotto...",Veirdo,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/o/h/o/s-os-100-vdorgnl-rb-veirdo-original-imah4fyghwvgzqt6.jpeg?q=70,70% off,"₹1,199",₹349
Men Regular Fit Solid Spread Collar Casual Shirt,Roadster,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/r/6/f/44-16892144-roadster-original-imagk3evgnk4stgx.jpeg?q=70,63% off,"₹1,299",₹468
Men Solid Polo Neck Pure Cotton Grey T-Shirt,U.S. POLO ASSN.,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/q/g/s/-original-imah4eardxxfxrwd.jpeg?q=70,45% off,"₹1,699",₹934
Men Solid Crew Neck Cotton Blend Blue T-Shirt,PUMA,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/n/8/x/5xl-68709850-puma-original-imah64swrxbrnfbw.jpeg?q=70,63% off,"₹2,299",₹849
Men Printed Crew Neck Cotton Blend Black T-Shirt,PUMA,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/c/q/a/5xl-68709201-puma-original-imah64swwzkqg42k.jpeg?q=70,63% off,"₹1,499",₹549
Men Printed Crew Neck Cotton Blend Blue T-Shirt,PUMA,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/z/a/7/l-68709203-puma-original-imah64swujfdngrz.jpeg?q=70,63% off,"₹1,499",₹549
"Oversized Men Printed, Typography Round Neck Pure Cotto...",Veirdo,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/w/l/f/s-os-100-vdorgnl-red-veirdo-original-imah4f6xqd7vuchu.jpeg?q=70,70% off,"₹1,199",₹349
Men Regular Fit Dark Green Cotton Blend Trousers,STREETVIBES,https://rukminim2.flixcart.com/image/612/612/xif0q/trouser/n/0/l/34-sv-gr-streetvibes-original-imahfgznhstq9gek.jpeg?q=70,71% off,"₹1,599",₹455
Solid Men Round Neck Poly Cotton Dark Green T-Shirt,METRONAUT,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/s/j/g/xxl-mt417-metronaut-original-imagmgfw84qcaqfn.jpeg?q=70,85% off,"₹1,999",₹299
Men Solid Polo Neck Cotton Blend Black T-Shirt,Allen Solly,https://rukminim2.flixcart.com/image/612/612/l4vnbm80/t-shirt/i/j/q/m-askporgfj72665-new-allen-solly-original-imagfzk8vjxgurcj.jpeg?q=70,33% off,"₹1,099",₹736
Men Slim Fit Checkered Cut Away Collar Casual Shirt,HIGHLANDER,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/c/2/5/xl-hlsh014179-highlander-original-imaghmqbryfqm2ez.jpeg?q=70,68% off,"₹2,049",₹642
Men Regular Fit Self Design Button Down Collar Casual S...,DIMMY,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/v/w/u/l-linen111-dimmy-original-imahfk9nkms65eh7.jpeg?q=70,80% off,"₹1,999",₹394
Women Printed Round Neck Wool Blend Maroon T-Shirt,VGHC FASHION,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/v/v/a/l-49-marun-vbhp-fashion-original-imagz9yy4ndsmgn4.jpeg?q=70,88% off,"₹2,499",₹299
Men Printed Crew Neck Cotton Blend White T-Shirt,PUMA,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/y/v/s/xxs-68709202-puma-original-imah64sw2ysmczhh.jpeg?q=70,63% off,"₹1,499",₹549
Men Striped Polo Neck Pure Cotton White T-Shirt,U.S. POLO ASSN.,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/g/h/h/-original-imah2p8h6tzgczze.jpeg?q=70,45% off,"₹1,899","₹1,044"
Men Solid Polo Neck Cotton Blend Purple T-Shirt,Allen Solly,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/5/m/k/-original-imagzjxraj8hmzte.jpeg?q=70,38% off,"₹1,099",₹681
Men Slim Fit Black Cotton Blend Trousers,pesado,https://rukminim2.flixcart.com/image/612/612/xif0q/trouser/2/u/r/26-black230150-pesado-original-imah2gtkrzjdgyac.jpeg?q=70,67% off,"₹1,299",₹419
